Id2,Geography,Age,2015,2020,2025,2030,,,,,,,,,
27001,Aitkin,16 to 19, 360 , 371 , 362 , 293 ,,,,,,,,,
27001,Aitkin,20 to 24, 510 , 671 , 697 , 686 ,,,,,,,,,
27001,Aitkin,25 to 29, 456 , 507 , 683 , 719 ,,,,,,,,,
27001,Aitkin,30 to 34, 559 , 470 , 528 , 724 ,,,,,,,,,
27001,Aitkin,35 to 44," 1,103 "," 1,027 ", 950 , 935 ,,,,,,,,,
27001,Aitkin,45 to 54," 1,595 "," 1,194 "," 1,029 ", 975 ,,,,,,,,,
27001,Aitkin,55 to 59, 890 , 746 , 513 , 438 ,,,,,,,,,
27001,Aitkin,60 to 64, 647 , 582 , 493 , 343 ,,,,,,,,,
27001,Aitkin,65 to 74, 448 , 452 , 425 , 377 ,,,,,,,,,
27001,Aitkin,75+, 97 , 126 , 151 , 167 ,,,,,,,,,
27003,Anoka,16 to 19," 9,128 "," 10,242 "," 10,085 "," 9,608 ",,,,,,,,,
27003,Anoka,20 to 24," 17,295 "," 19,940 "," 22,509 "," 22,108 ",,,,,,,,,
27003,Anoka,25 to 29," 18,876 "," 18,225 "," 21,231 "," 23,950 ",,,,,,,,,
27003,Anoka,30 to 34," 20,840 "," 18,986 "," 18,454 "," 21,456 ",,,,,,,,,
27003,Anoka,35 to 44," 41,237 "," 41,810 "," 41,014 "," 38,525 ",,,,,,,,,
27003,Anoka,45 to 54," 47,362 "," 43,448 "," 42,241 "," 42,998 ",,,,,,,,,
27003,Anoka,55 to 59," 20,946 "," 23,293 "," 20,937 "," 19,839 ",,,,,,,,,
27003,Anoka,60 to 64," 12,550 "," 14,724 "," 16,489 "," 14,778 ",,,,,,,,,
27003,Anoka,65 to 74," 6,481 "," 8,063 "," 9,610 "," 10,990 ",,,,,,,,,
27003,Anoka,75+, 977 ," 1,174 "," 1,384 "," 1,661 ",,,,,,,,,
27005,Becker,16 to 19, 982 ," 1,133 "," 1,107 ", 987 ,,,,,,,,,
27005,Becker,20 to 24," 1,491 "," 2,083 "," 2,352 "," 2,284 ",,,,,,,,,
27005,Becker,25 to 29," 1,401 "," 1,392 "," 1,993 "," 2,251 ",,,,,,,,,
